City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,al mijlad,11.0333,27.7333,31.3,14,13,4.73,SD,1714943461
275,coahuayana de hidalgo,18.7,-103.6583,31.52,46,18,3.23,MX,1714943215
276,garissa,-0.4536,39.6401,26.06,83,92,6.44,KE,1714943462
277,bondo,3.8146,23.6866,22.89,76,16,0.77,CD,1714943462
278,turan,16.0678,108.2208,26.99,89,40,0.0,VN,1714943462
279,tahoua,14.8888,5.2692,33.35,18,67,0.66,NE,1714943463
280,acarau,-2.8856,-40.12,26.66,88,100,4.14,BR,1714943223
281,east ballina,-28.8667,153.5833,16.56,84,100,5.27,AU,1714943463
282,nikel,69.4128,30.222,-1.9,94,97,2.19,RU,1714943463
283,revelstoke,50.9832,-118.2023,20.84,40,99,1.09,CA,1714943464
284,yamada,39.4667,141.95,15.73,68,100,1.06,JP,1714943464
285,korla,41.7597,86.1469,22.57,12,7,3.71,CN,1714943464
286,kolonia,50.9333,6.95,14.9,78,0,2.06,DE,1714943465
287,nogliki,51.8333,143.1667,1.3,75,82,5.36,RU,1714943465
288,sur,22.5667,59.5289,31.95,54,26,5.33,OM,1714943466
289,khark,29.2614,50.3306,26.7,63,0,3.02,IR,1714943466
290,alaghsas,17.0187,8.0168,33.37,9,0,3.95,NE,1714943467
291,coquimbo,-29.9533,-71.3436,16.13,65,0,1.75,CL,1714943226
292,aqsay,51.1678,52.995,6.4,48,2,6.85,KZ,1714943467
293,taoudenni,22.6783,-3.9836,32.43,5,0,5.02,ML,1714943468
294,anacapri,40.5558,14.2136,15.89,71,9,0.4,IT,1714943468
295,kasane,-17.8167,25.15,16.86,48,0,2.02,BW,1714943468
296,yuzhno-kurilsk,44.0306,145.8556,6.88,80,100,1.26,RU,1714943469
297,bikenibeu village,1.3673,173.1241,28.74,72,100,5.07,KI,1714943235
298,college,64.8569,-147.8028,14.48,40,75,2.06,US,1714943469
299,unterfohring,48.1925,11.6429,12.68,82,67,1.48,DE,1714943470
300,bayganin,48.6947,55.8742,6.66,38,100,3.49,KZ,1714943470
301,klyuchi,52.2667,79.1667,7.63,71,100,4.7,RU,1714943470
302,comandante fontana,-25.3345,-59.6821,26.91,70,0,2.14,AR,1714943470
303,carutapera,-1.195,-46.02,25.92,90,100,3.76,BR,1714943471
304,yichang,30.7144,111.2847,18.01,91,100,1.38,CN,1714943471
305,kununurra,-15.7667,128.7333,25.99,41,24,5.66,AU,1714943472
306,kingston,17.997,-76.7936,27.87,79,1,2.17,JM,1714943472
307,zyryanskoye,56.8306,86.6258,8.77,80,100,2.84,RU,1714943473
308,cherlak,54.155,74.8055,3.92,54,0,4.16,RU,1714943473
309,port douglas,-16.4833,145.4667,22.97,85,100,3.03,AU,1714943473
310,datong,40.0936,113.2914,12.13,66,79,0.44,CN,1714943474
311,yunyang,33.4474,112.7142,14.83,95,21,2.31,CN,1714943474
312,chonchi,-42.6128,-73.8092,5.62,91,98,2.3,CL,1714943474
313,bamboo flat,11.7,92.7167,28.48,75,76,2.1,IN,1714943475
314,kabalo,-6.05,26.9167,22.66,68,68,1.7,CD,1714943475
315,dolores,-36.3132,-57.6792,16.61,96,100,2.76,AR,1714943475
316,saint-francois,46.4154,3.9054,14.69,95,100,2.57,FR,1714943476
317,xiaoweizhai,26.1903,107.5125,17.05,91,100,1.03,CN,1714943476
318,wloclawek,52.6482,19.0678,14.37,88,100,2.92,PL,1714943476
319,jamestown,42.097,-79.2353,20.77,92,100,3.6,US,1714943477
320,alesund,62.4723,6.1549,10.5,93,80,2.57,NO,1714943477
321,turpan,42.9333,89.1667,26.36,9,0,0.86,CN,1714943477
322,pustoshka,56.3355,29.369,6.69,73,100,2.96,RU,1714943478
323,hirara,24.8,125.2833,26.47,87,100,5.67,JP,1714943478
324,santa cruz,-17.8,-63.1667,29.7,74,20,7.2,BO,1714943479
325,nagqu,31.5,92.0,-0.19,79,100,0.87,CN,1714943479
326,la'ie,21.6477,-157.9253,27.98,68,25,4.02,US,1714943479
327,puerto lempira,15.2667,-83.7667,33.08,62,20,5.14,HN,1714943211
328,yambio,4.5721,28.3955,22.47,75,60,1.45,SS,1714943480
329,okhotsk,59.3833,143.3,1.4,86,73,1.14,RU,1714943481
330,onega,63.9061,38.1404,-6.09,93,23,1.65,RU,1714943481
331,maua,-23.6678,-46.4614,27.98,82,96,2.68,BR,1714943438
332,shambu,9.5667,37.1,14.5,48,32,1.33,ET,1714943482
333,soe,-9.8607,124.284,19.0,95,99,1.88,ID,1714943482
334,galatone,40.1429,18.0704,15.91,82,3,2.68,IT,1714943482
335,sale,34.0389,-6.8166,17.58,94,75,1.54,MA,1714943483
336,ancud,-41.8697,-73.8203,8.51,75,93,8.06,CL,1714943196
337,sao paulo de olivenca,-3.3783,-68.8725,27.65,93,100,1.39,BR,1714943483
338,kismayo,-0.3582,42.5454,27.33,85,100,7.08,SO,1714943224
339,shijiazhuang,38.0414,114.4786,15.19,80,100,1.36,CN,1714943484
340,nur-sultan,51.1801,71.446,0.97,75,0,3.0,KZ,1714943484
341,cururupu,-1.8283,-44.8683,23.78,100,97,0.5,BR,1714943484
342,reggane,26.7158,0.1714,30.59,7,0,5.27,DZ,1714943485
343,butte,39.6499,-121.5677,16.27,40,86,2.12,US,1714943485
344,nadym,65.5333,72.5167,-3.35,96,97,5.35,RU,1714943265
345,hermanus,-34.4187,19.2345,12.67,67,24,4.79,ZA,1714943486
346,aleg,17.0481,-13.9209,36.2,9,0,5.28,MR,1714943486
347,peace river,56.2501,-117.286,16.36,36,50,2.81,CA,1714943486
348,say,13.1007,2.3689,38.07,18,51,3.69,NE,1714943487
349,alofi,-19.0595,-169.9187,25.94,94,75,3.6,NU,1714943487
350,puerto baquerizo moreno,-0.9,-89.6,28.55,65,20,7.2,EC,1714943230
351,isangel,-19.55,169.2667,24.35,69,100,5.81,VU,1714943487
352,cockburn town,21.4612,-71.1419,27.98,69,75,6.69,TC,1714943488
353,duba-yurt,43.0372,45.7319,6.54,98,100,0.45,RU,1714943488
354,bag,22.3667,74.7667,30.95,42,42,6.15,IN,1714943488
355,fort-shevchenko,44.5086,50.263,12.08,79,100,9.09,KZ,1714943489
356,geraldton,-28.7667,114.6,10.23,87,0,1.54,AU,1714943240
357,monaragala,6.8714,81.3487,25.33,86,100,1.15,LK,1714943489
358,akjoujt,19.6969,-14.4164,33.43,7,2,4.4,MR,1714943490
359,samraong,12.4526,105.5873,24.24,97,88,1.17,KH,1714943490
360,lethem,3.3803,-59.7968,30.96,63,89,2.72,GY,1714943490
361,belmonte,-15.8631,-38.8828,26.22,78,6,3.9,BR,1714943491
362,mil'kovo,55.6078,37.7956,5.75,68,10,3.2,RU,1714943491
363,stephenville,32.2207,-98.2023,27.18,63,40,2.06,US,1714943491
364,nova vicosa,-17.8919,-39.3719,25.81,84,8,3.27,BR,1714943241
365,guajara mirim,-10.7828,-65.3394,31.26,57,79,1.01,BR,1714943492
